excel_activate_title;Enable Release Puppet Decisions;;;;;;;;;;;;;x,,
excel_activate_desc;Brought to you by Microsoft Excel;;;;;;;;;;;;;x,,
excel_deactivate_title;Disable Release Puppet Decisions;;;;;;;;;;;;;x,,
excel_deactivate_desc;Brought to you by Microsoft Excel;;;;;;;;;;;;;x,,
release_puppet_UTI_title;Release Puppet UTI ;;;;;;;;;;;;;x,,
release_puppet_OCC_title;Release Puppet OCC ;;;;;;;;;;;;;x,,
release_puppet_BOR_title;Release Puppet BOR ;;;;;;;;;;;;;x,,
release_puppet_BRG_title;Release Puppet BRG ;;;;;;;;;;;;;x,,
release_puppet_NOV_title;Release Puppet NOV ;;;;;;;;;;;;;x,,
release_puppet_SMK_title;Release Puppet SMK ;;;;;;;;;;;;;x,,
release_puppet_RYA_title;Release Puppet RYA ;;;;;;;;;;;;;x,,
release_puppet_MUS_title;Release Puppet MUS ;;;;;;;;;;;;;x,,
release_puppet_ATR_title;Release Puppet ATR ;;;;;;;;;;;;;x,,
release_puppet_KRM_title;Release Puppet KRM ;;;;;;;;;;;;;x,,
release_puppet_AKK_title;Release Puppet AKK ;;;;;;;;;;;;;x,,
release_puppet_CND_title;Release Puppet CND ;;;;;;;;;;;;;x,,
release_puppet_DUL_title;Release Puppet DUL ;;;;;;;;;;;;;x,,
release_puppet_TUA_title;Release Puppet TUA ;;;;;;;;;;;;;x,,
release_puppet_OIR_title;Release Puppet OIR ;;;;;;;;;;;;;x,,
release_puppet_MGO_title;Release Puppet MGO ;;;;;;;;;;;;;x,,
release_puppet_MNG_title;Release Puppet MNG ;;;;;;;;;;;;;x,,
release_puppet_NRD_title;Release Puppet NRD ;;;;;;;;;;;;;x,,
release_puppet_ILL_title;Release Puppet ILL ;;;;;;;;;;;;;x,,
release_puppet_BZN_title;Release Puppet BZN ;;;;;;;;;;;;;x,,
release_puppet_FDA_title;Release Puppet FDA ;;;;;;;;;;;;;x,,
release_puppet_FRI_title;Release Puppet FRI ;;;;;;;;;;;;;x,,
release_puppet_THU_title;Release Puppet THU ;;;;;;;;;;;;;x,,
release_puppet_MNS_title;Release Puppet MNS ;;;;;;;;;;;;;x,,
release_puppet_SLN_title;Release Puppet SLN ;;;;;;;;;;;;;x,,
release_puppet_ULS_title;Release Puppet ULS ;;;;;;;;;;;;;x,,
release_puppet_LIR_title;Release Puppet LIR ;;;;;;;;;;;;;x,,
release_puppet_ALN_title;Release Puppet ALN ;;;;;;;;;;;;;x,,
release_puppet_URF_title;Release Puppet URF ;;;;;;;;;;;;;x,,
release_puppet_KJP_title;Release Puppet KJP ;;;;;;;;;;;;;x,,
release_puppet_KZN_title;Release Puppet KZN ;;;;;;;;;;;;;x,,
release_puppet_INC_title;Release Puppet INC ;;;;;;;;;;;;;x,,
release_puppet_BRB_title;Release Puppet BRB ;;;;;;;;;;;;;x,,
release_puppet_CST_title;Release Puppet CST ;;;;;;;;;;;;;x,,
release_puppet_ANU_title;Release Puppet ANU ;;;;;;;;;;;;;x,,
release_puppet_WUL_title;Release Puppet WUL ;;;;;;;;;;;;;x,,
release_puppet_KOL_title;Release Puppet KOL ;;;;;;;;;;;;;x,,
release_puppet_AAC_title;Release Puppet AAC ;;;;;;;;;;;;;x,,
release_puppet_KHR_title;Release Puppet KHR ;;;;;;;;;;;;;x,,
release_puppet_LIG_title;Release Puppet LIG ;;;;;;;;;;;;;x,,
release_puppet_TRR_title;Release Puppet TRR ;;;;;;;;;;;;;x,,
release_puppet_ERF_title;Release Puppet ERF ;;;;;;;;;;;;;x,,
release_puppet_NAP_title;Release Puppet NAP ;;;;;;;;;;;;;x,,
release_puppet_KNI_title;Release Puppet KNI ;;;;;;;;;;;;;x,,
release_puppet_CMN_title;Release Puppet CMN ;;;;;;;;;;;;;x,,
release_puppet_SLA_title;Release Puppet SLA ;;;;;;;;;;;;;x,,
release_puppet_BCR_title;Release Puppet BCR ;;;;;;;;;;;;;x,,
